Episode 245, Reward: -9.83, Steps: 82, Epsilon: 0.997
Episode 246, Reward: -3.11, Steps: 32, Epsilon: 0.997
Episode 247, Reward: -2.83, Steps: 43, Epsilon: 0.997
Episode 248, Reward: -24.69, Steps: 75, Epsilon: 0.997
Episode 249, Reward: -9.28, Steps: 86, Epsilon: 0.997
Episode 250, Reward: -6.31, Steps: 70, Epsilon: 0.997
Episode 251, Reward: -21.85, Steps: 118, Epsilon: 0.997
Episode 252, Reward: -5.97, Steps: 35, Epsilon: 0.997
Episode 253, Reward: -14.44, Steps: 108, Epsilon: 0.997
Episode 254, Reward: -2.83, Steps: 38, Epsilon: 0.997
Episode 255, Reward: -6.86, Steps: 67, Epsilon: 0.997
Episode 256, Reward: -12.31, Steps: 62, Epsilon: 0.997
Episode 257, Reward: -50.50, Steps: 124, Epsilon: 0.997
Episode 258, Reward: -10.67, Steps: 42, Epsilon: 0.997
Episode 259, Reward: -2.78, Steps: 38, Epsilon: 0.997
Episode 260, Reward: -3.58, Steps: 73, Epsilon: 0.997
Episode 261, Reward: -14.79, Steps: 90, Epsilon: 0.997
Episode 262, Reward: -1.44, Steps: 32, Epsilon: 0.997
Episode 263, Reward: -10.94, Steps: 78, Epsilon: 0.996
Episode 264, Reward: -20.79, Steps: 73, Epsilon: 0.996
Episode 265, Reward: -9.50, Steps: 64, Epsilon: 0.996
Episode 266, Reward: -8.69, Steps: 83, Epsilon: 0.996
Episode 267, Reward: -17.35, Steps: 41, Epsilon: 0.996
Episode 268, Reward: -5.89, Steps: 57, Epsilon: 0.996
Episode 269, Reward: -8.03, Steps: 53, Epsilon: 0.996
Episode 270, Reward: -12.63, Steps: 59, Epsilon: 0.996
Episode 271, Reward: -6.78, Steps: 88, Epsilon: 0.996
Episode 272, Reward: -8.58, Steps: 31, Epsilon: 0.996
Episode 273, Reward: -14.03, Steps: 80, Epsilon: 0.996
Episode 274, Reward: -17.14, Steps: 52, Epsilon: 0.996
